H   Hidrogeno
He	Helio
Li	Litio
Be	Berilio
B	Boro
C	Carbono
N	Nitrógeno
O	Oxigeno
F	Flúor
Ne	Neón
Na	Sodio
Mg	Magnesio
Al	Aluminio
Si	Silicio
P	Fósforo
S	Azufre
Cl	Cloro
Ar	Argon
K	Potasio
Ca	Calcio
Sc	Escandio
Ti	Titanio
V	Vanadio
Cr	Cromo
Mn	Manganeso
Fe	Hierro
Co	Cobalto
Ni	Niquel
Cu	Cobre
Zn	Zinc
Ga	Galio
Ge	Germanio
As	Arsenico
Se	Selenio
Br	Bromo
Kr	Kripton
Rb	Rubidio
Sr	Estroncio
Y	Itrio
Zr	Circonio
Nb	Niobio
Mo	Molibdeno
Tc	Tecnecio
Ru	Rutenio
Rh	Rodio
Pd	Paladio
Ag	Plata
Cd	Cadmio
In	Indio
Sn	Estaño
Sb	Antimonio
Te	Telurio
I	Yodo
Xe	Xenón
Cs	Cesio
Ba	Bario
La	Lantano
Ce	Cerio
Pr	Praseodimio
Nd	Neodimio
Pm	Prometio
Sm	Samario
Eu	Europio
Gd	Gadolinio
Tb	Terbio
Dy	Disprosio
Ho	Holmio
Er	Erbio
Tm	Tulio
Yb	Iterbio
Lu	Lutecio
Hf	Hafnio
Ta	Tantalo
W	Wolframio
Re	Renio
Os	Osmio
Ir	Iridio
Pt	Platino
Au	Oro
Hg	Mercurio
Tl	Talio
Pb	Plomo
Bi	Bismuto
Po	Polonio
At	Astato
Rn	Radón
Fr	Francio
Ra	Radio
Ac	Actinio
Th	Torio
Pa	Protactinio
U	Uranio
Np	Neptunio
Pu	Plutonio
Am	Americio
Cm	Curio
Bk	Berkelio
Cf	Californio
Es	Einstenio
Fm	Fermio
Md	Mendelevio
No	Nobelio
Lr	Lawrencio
Rf	Rutherfordio
Db	Dubnio
Sg	Seaborgio
Bh	Bohrio
Hs	Hasio
Mt	Meitnerio
Ds	Darmstatio
Rg	Roentgenio
Cn	Copernicio
Nh	Nihonio
Fl	Flerovio
Mc	Moscovio
Lv	Livermorio
Ts	Teneso
Og	Oganesson
